LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:14:11,0                 
Time,Ampl
2.020939e-006,1.4825
2.021939e-006,1.4825
2.022939e-006,1.49812
2.023939e-006,1.4825
2.024939e-006,1.49812
2.025939e-006,1.4825
2.026939e-006,1.4825
2.027939e-006,1.49812
2.028939e-006,1.52937
2.029939e-006,1.45125
2.030939e-006,1.45125
2.031939e-006,1.4825
2.032939e-006,1.46687
2.033939e-006,1.45125
2.034939e-006,1.49812
2.035939e-006,1.46687
2.036939e-006,1.45125
2.037939e-006,1.4825
2.038939e-006,1.49812
2.039939e-006,1.49812
2.040939e-006,1.4825
2.041939e-006,1.51375
2.042939e-006,1.45125
2.043939e-006,1.4825
2.044939e-006,1.49812
2.045939e-006,1.4825
2.046939e-006,1.51375
2.047939e-006,1.49812
2.048939e-006,1.49812
2.049939e-006,1.52937
2.050939e-006,1.52937
2.051939e-006,1.49812
2.052939e-006,1.4825
2.053939e-006,1.51375
2.054939e-006,1.49812
2.055939e-006,1.4825
2.056939e-006,1.52937
2.057939e-006,1.49812
2.058939e-006,1.4825
2.059939e-006,1.56062
2.060939e-006,1.4825
2.061939e-006,1.49812
2.062939e-006,1.51375
2.063939e-006,1.49812
2.064939e-006,1.51375
2.065939e-006,1.52937
2.066939e-006,1.46687
2.067939e-006,1.56062
2.068939e-006,1.4825
2.069939e-006,1.46687
2.070939e-006,1.49812
2.071939e-006,1.49812
2.072939e-006,1.52937
2.073939e-006,1.51375
2.074939e-006,1.51375
2.075939e-006,1.4825
2.076939e-006,1.49812
2.077939e-006,1.51375
2.078939e-006,1.49812
2.079939e-006,1.545
2.080939e-006,1.49812
2.081939e-006,1.46687
2.082939e-006,1.49812
2.083939e-006,1.49812
2.084939e-006,1.51375
2.085939e-006,1.51375
2.086939e-006,1.545
2.087939e-006,1.51375
2.088939e-006,1.51375
2.089939e-006,1.49812
2.090939e-006,1.49812
2.091939e-006,1.51375
2.092939e-006,1.51375
2.093939e-006,1.51375
2.094939e-006,1.52937
2.095939e-006,1.49812
2.096939e-006,1.56062
2.097939e-006,1.545
2.098939e-006,1.52937
2.099939e-006,1.51375
2.100939e-006,1.56062
2.101939e-006,1.51375
2.102939e-006,1.545
2.103939e-006,1.56062
2.104939e-006,1.51375
2.105939e-006,1.51375
2.106939e-006,1.545
2.107939e-006,1.51375
2.108939e-006,1.545
2.109939e-006,1.52937
2.110939e-006,1.545
2.111939e-006,1.49812
2.112939e-006,1.56062
2.113939e-006,1.545
2.114939e-006,1.4825
2.115939e-006,1.56062
2.116939e-006,1.51375
2.117939e-006,1.51375
2.118939e-006,1.52937
2.119939e-006,1.545
2.120939e-006,1.49812
2.121939e-006,1.49812
2.122939e-006,1.51375
2.123939e-006,1.51375
2.124939e-006,1.56062
2.125939e-006,1.51375
2.126939e-006,1.52937
2.127939e-006,1.545
2.128939e-006,1.545
2.129939e-006,1.52937
2.130939e-006,1.51375
2.131939e-006,1.4825
2.132939e-006,1.56062
2.133939e-006,1.51375
2.134939e-006,1.52937
2.135939e-006,1.49812
